Item,Year,Area Harvested (ha),Production (t),Yield (kg/ha)
Cabbages,1961,26900.0,477200.0,17739.8
Cabbages,1962,26400.0,399000.0,15113.6
Cabbages,1963,27400.0,452300.0,16507.3
Cabbages,1964,25900.0,486700.0,18791.5
Cabbages,1965,23300.0,374400.0,16068.7
Cabbages,1966,26800.0,592100.0,22093.3
Cabbages,1967,24000.0,498000.0,20750.0
Cabbages,1968,25607.0,625304.0,24419.3
Cabbages,1969,23400.0,473414.0,20231.4
Cabbages,1970,23589.0,483800.0,20509.6
Cabbages,1971,24700.0,661700.0,26789.5
Cabbages,1972,23100.0,610000.0,26406.9
Cabbages,1973,24000.0,609100.0,25379.2
Cabbages,1974,24300.0,685700.0,28218.1
Cabbages,1975,21715.0,520281.0,23959.5
Cabbages,1976,24700.0,905300.0,36651.8
Cabbages,1977,23100.0,686864.0,29734.4
Cabbages,1978,22719.0,869158.0,38256.9
Cabbages,1979,22835.0,809113.0,35433.0
Cabbages,1980,30409.0,830800.0,27320.9
Cabbages,1981,27144.0,859808.0,31675.8
Cabbages,1982,30873.0,1200464.0,38883.9
Cabbages,1983,28481.0,1102794.0,38720.3
Cabbages,1984,27561.0,1481600.0,53757.1
Cabbages,1985,20998.0,1131000.0,53862.3
Cabbages,1986,24300.0,904700.0,37230.5
Cabbages,1987,23800.0,815800.0,34277.3
Cabbages,1988,26900.0,911200.0,33873.6
Cabbages,1989,22600.0,877300.0,38818.6
Cabbages,1990,27178.0,551914.0,20307.4
Cabbages,1991,27958.0,616530.0,22052.0
Cabbages,1992,33100.0,676197.0,20428.9
Cabbages,1993,35485.0,853948.0,24065.0
Cabbages,1994,32282.0,711335.0,22035.0
Cabbages,1995,35081.0,824412.0,23500.2
Cabbages,1996,33834.0,857435.0,25342.4
Cabbages,1997,33561.0,761183.0,22680.6
Cabbages,1998,37293.0,837824.0,22466.0
Cabbages,1999,38739.0,885407.0,22855.7
Cabbages,2000,39329.0,731897.0,18609.6
Cabbages,2001,39807.0,819184.0,20578.9
Cabbages,2002,40318.0,821419.0,20373.5
Cabbages,2003,42169.0,1019234.0,24170.2
Cabbages,2004,42528.0,924686.0,21743.0
Cabbages,2005,54675.0,1011633.0,18502.7
Cabbages,2006,45742.0,1112675.0,24325.0
Cabbages,2007,46511.0,899245.0,19334.0
Cabbages,2008,49220.0,967627.0,19659.2
Cabbages,2009,48452.0,1004191.0,20725.5
Cabbages,2010,47227.0,983648.0,20828.1
Cabbages,2011,47212.0,1027844.0,21770.8
Cabbages,2012,49266.0,990154.0,20098.1
Cabbages,2013,55051.0,1158747.0,21048.6
Cabbages,2014,47988.0,1125546.0,23454.7
Cabbages,2015,48887.0,1080277.0,22097.4
Cabbages,2016,46395.0,994596.0,21437.6
Cabbages,2017,46314.0,1028475.0,22206.6
Cabbages,2018,28730.0,692630.0,24108.2
Cabbages,2019,28790.0,616930.0,21428.6
Cabbages,2020,19150.0,541920.0,28298.7
Cabbages,2021,19470.0,548640.0,28178.7
Cabbages,2022,18950.0,387400.0,20443.3
Cabbages,2023,19140.0,357610.0,18683.9
Tomatoes,1961,33400.0,402000.0,12035.9
Tomatoes,1962,34900.0,414300.0,11871.1
Tomatoes,1963,38700.0,463000.0,11963.8
Tomatoes,1964,39600.0,485800.0,12267.7
Tomatoes,1965,39208.0,561963.0,14332.9
Tomatoes,1966,43416.0,646544.0,14891.8
Tomatoes,1967,44384.0,675683.0,15223.6
Tomatoes,1968,55117.0,874266.0,15862.0
Tomatoes,1969,56492.0,675753.0,11961.9
Tomatoes,1970,56600.0,682800.0,12063.6
Tomatoes,1971,56400.0,944200.0,16741.1
Tomatoes,1972,55900.0,949200.0,16980.3
Tomatoes,1973,63200.0,1206900.0,19096.5
Tomatoes,1974,62000.0,1231600.0,19864.5
Tomatoes,1975,57100.0,967600.0,16945.7
Tomatoes,1976,75000.0,1472800.0,19637.3
Tomatoes,1977,71700.0,1242000.0,17322.2
Tomatoes,1978,68700.0,1435200.0,20890.8
Tomatoes,1979,70200.0,1368000.0,19487.2
Tomatoes,1980,74600.0,1198000.0,16059.0
Tomatoes,1981,78700.0,1755000.0,22299.9
Tomatoes,1982,81300.0,1873000.0,23038.1
Tomatoes,1983,81300.0,1759000.0,21635.9
